LAT,LON,DEP,MAG,EPI-DIS,HYP-DIS,CORD-N,CORD-E,PGA,datetime
42.856,13.159,9.4,2.1,19.7137,22.0959,-17.823,8.424,0.000103,29-10-2016 03:15
42.853,13.174,8.0,1.9,20.5814,22.2982,-18.183,9.642,6.4e-05,29-10-2016 03:16
42.842,13.059,9.0,1.6,19.1957,21.4535,-19.194,0.217,3.5e-05,29-10-2016 03:17
43.009,13.096,8.7,1.9,3.7307,10.0018,-0.717,3.661,0.000362,29-10-2016 03:17
42.83,13.054,9.8,1.8,20.5189,22.995,-20.518,-0.222,4.7e-05,29-10-2016 03:20
42.891,13.047,9.5,1.9,13.7449,17.0449,-13.73,-0.637,0.000126,29-10-2016 03:21
42.878,13.086,10.1,1.9,15.4531,18.7846,-15.247,2.515,0.0001,29-10-2016 03:24
42.864,13.211,2.3,1.7,21.236,21.4304,-17.026,12.691,4.5e-05,29-10-2016 03:24
43.03,13.09,9.1,2.0,3.6118,10.3319,1.626,3.225,0.000423,29-10-2016 03:27
42.848,13.083,10.3,1.8,18.7022,21.6367,-18.573,2.194,5.5e-05,29-10-2016 03:28
42.906,13.15,6.7,1.8,14.5319,16.2534,-12.254,7.811,0.000113,29-10-2016 03:41
42.878,13.084,10.9,1.9,15.4236,19.227,-15.243,2.352,9.4e-05,29-10-2016 03:41
42.901,13.167,7.4,1.9,15.7878,17.69,-12.84,9.186,0.000115,29-10-2016 03:48
42.84,13.147,7.6,1.1,20.9319,22.4734,-19.579,7.404,9e-06,29-10-2016 03:51
42.869,13.022,10.2,1.7,16.3561,19.5891,-16.126,-2.736,5.7e-05,29-10-2016 03:55
43.026,13.093,9.2,1.9,3.654,10.4403,1.176,3.459,0.000338,29-10-2016 03:56
42.923,13.042,11.0,2.0,10.2124,15.4399,-10.167,-0.963,0.000197,29-10-2016 03:57
42.945,12.998,10.4,1.8,8.8638,14.1113,-7.639,-4.496,0.000155,29-10-2016 04:04
42.843,13.05,9.8,2.1,19.0734,21.715,-19.066,-0.516,0.000108,29-10-2016 04:07
42.845,13.054,10.2,1.7,18.8528,21.7172,-18.852,-0.183,4.3e-05,29-10-2016 04:08
42.805,13.153,7.9,1.3,24.741,26.1539,-23.476,7.809,1e-05,29-10-2016 04:08
43.046,13.093,10.0,1.5,4.8848,11.6532,3.397,3.51,0.000117,29-10-2016 04:10
42.988,13.148,8.7,2.2,8.4543,12.5536,-3.144,7.848,0.000454,29-10-2016 04:11
42.862,13.159,5.5,1.7,19.1198,20.0632,-17.157,8.438,5.3e-05,29-10-2016 04:13
43.039,13.098,4.6,2.4,4.6928,6.9896,2.611,3.9,0.001508,29-10-2016 04:19
42.856,13.122,9.3,2.2,18.5596,21.0256,-17.756,5.401,0.000146,29-10-2016 04:19
42.897,13.163,9.2,2.6,15.9564,18.7151,-13.277,8.85,0.000446,29-10-2016 04:23
42.951,13.087,7.3,1.8,7.6642,10.9925,-7.142,2.781,0.000251,29-10-2016 04:24
43.053,13.095,9.3,1.8,5.5693,11.3416,4.171,3.691,0.000238,29-10-2016 04:25
42.971,13.125,8.9,1.9,7.751,12.2453,-4.991,5.931,0.000255,29-10-2016 04:26
42.919,13.151,8.2,2.4,13.4052,16.0246,-10.813,7.924,0.000418,29-10-2016 04:33
43.052,13.101,9.7,1.7,5.817,11.8117,4.049,4.177,0.000178,29-10-2016 04:38
43.03,13.092,8.4,2.1,3.7564,9.734,1.622,3.388,0.000567,29-10-2016 04:40
42.949,13.048,9.9,1.9,7.3022,12.7731,-7.291,-0.406,0.000235,29-10-2016 04:42
42.877,13.079,13.1,1.8,15.4673,20.649,-15.345,1.941,6.2e-05,29-10-2016 04:47
42.961,13.072,9.6,1.9,6.2085,11.9239,-6.003,1.583,0.000268,29-10-2016 04:52
42.89,13.16,9.7,1.9,16.4662,19.4117,-14.049,8.588,9.2e-05,29-10-2016 04:54
42.996,13.133,6.6,1.8,7.0085,10.0335,-2.229,6.645,0.000292,29-10-2016 04:55
42.849,13.041,10.6,1.5,18.4245,21.5512,-18.383,-1.236,2.7e-05,29-10-2016 04:58
42.873,13.165,5.8,1.5,18.2885,19.3694,-15.946,8.955,3.7e-05,29-10-2016 05:00
42.736,13.15,10.0,1.9,31.9998,33.7035,-31.133,7.396,2e-05,29-10-2016 05:03
43.013,13.121,6.9,1.1,5.7175,9.4149,-0.319,5.709,6.8e-05,29-10-2016 05:05
42.766,13.14,23.2,2.2,28.5688,37.1707,-27.784,6.651,3.1e-05,29-10-2016 05:06
42.875,13.092,9.5,1.6,15.8768,18.8064,-15.591,2.997,5e-05,29-10-2016 05:07
42.962,13.034,0.3,1.2,6.0143,6.0783,-5.821,-1.514,0.000148,29-10-2016 05:08
42.841,13.161,9.0,1.8,21.2856,23.3421,-19.493,8.551,4.5e-05,29-10-2016 05:10
42.849,13.133,9.1,1.7,19.5885,21.8498,-18.554,6.282,4.3e-05,29-10-2016 05:13
43.028,13.058,10.0,1.8,1.5867,10.6983,1.464,0.613,0.000263,29-10-2016 05:22
42.874,13.203,4.8,1.3,19.9587,20.6711,-15.902,12.062,1.9e-05,29-10-2016 05:32
42.855,13.16,7.6,2.0,19.8496,21.469,-17.936,8.503,8.9e-05,29-10-2016 05:32
42.882,13.176,5.9,2.0,17.9306,19.0656,-14.966,9.875,0.00012,29-10-2016 05:33
42.893,13.038,10.0,1.8,13.56,17.1992,-13.491,-1.367,9.9e-05,29-10-2016 05:35
42.891,13.166,6.8,1.9,16.644,18.2068,-13.949,9.08,0.000108,29-10-2016 05:36
43.04,13.097,7.6,2.1,4.692,9.4301,2.724,3.821,0.000594,29-10-2016 05:41
42.835,13.08,9.9,2.1,20.1027,22.6705,-20.011,1.916,9.7e-05,29-10-2016 05:46
42.945,13.044,11.1,1.7,7.7631,14.0246,-7.728,-0.743,0.000126,29-10-2016 05:49
42.923,13.169,2.2,1.7,14.0207,14.2937,-10.4,9.403,0.000121,29-10-2016 05:50
42.914,13.154,9.0,1.9,13.9957,16.9604,-11.373,8.157,0.000128,29-10-2016 05:52
42.85,13.163,8.7,2.0,20.456,22.4625,-18.497,8.736,7.9e-05,29-10-2016 05:53
43.038,13.075,10.3,2.2,3.2492,11.3548,2.542,2.023,0.000543,29-10-2016 05:54
42.913,13.145,9.3,1.8,13.6589,16.8576,-11.468,7.419,0.000104,29-10-2016 05:55
43.008,13.07,9.8,1.5,1.7258,10.5225,-0.78,1.539,0.000141,29-10-2016 05:56
43.032,13.148,3.9,1.8,8.1441,9.295,1.742,7.956,0.000328,29-10-2016 06:01
42.925,13.041,10.7,1.5,9.9971,15.0725,-9.943,-1.039,6.8e-05,29-10-2016 06:03
42.657,13.298,12.1,1.2,44.5732,46.3417,-40.161,19.335,1e-06,29-10-2016 06:07
42.881,13.229,6.9,1.0,20.7798,22.0851,-15.17,14.202,7e-06,29-10-2016 06:08
42.958,13.072,10.0,1.4,6.5294,12.4326,-6.337,1.575,8.2e-05,29-10-2016 06:08
42.608,13.26,13.4,1.4,48.3042,50.2866,-45.539,16.108,2e-06,29-10-2016 06:10
42.879,13.045,10.1,1.8,15.082,18.4805,-15.059,-0.831,8.3e-05,29-10-2016 06:11
42.842,13.054,9.8,1.4,19.186,21.8139,-19.185,-0.191,2.1e-05,29-10-2016 06:11
42.954,13.06,13.5,1.8,6.7836,15.6289,-6.758,0.586,0.000124,29-10-2016 06:13
42.858,13.161,8.8,1.6,19.5895,21.7194,-17.605,8.592,3.4e-05,29-10-2016 06:16
43.076,13.073,5.9,1.6,7.0437,9.571,6.766,1.957,0.000205,29-10-2016 06:20
43.003,13.111,8.9,1.8,5.0691,10.7502,-1.411,4.869,0.000261,29-10-2016 06:22
42.878,13.039,10.9,1.7,15.2164,19.0612,-15.159,-1.324,6.1e-05,29-10-2016 06:26
42.822,13.091,10.4,1.4,21.6548,24.2794,-21.475,2.782,1.5e-05,29-10-2016 06:27
42.893,13.158,8.5,2.0,16.0975,18.4818,-13.712,8.432,0.00013,29-10-2016 06:30
42.893,13.142,8.7,2.3,15.4278,18.0038,-13.684,7.126,0.000263,29-10-2016 06:31
43.071,13.08,8.6,2.0,6.6885,11.3582,6.198,2.515,0.000361,29-10-2016 06:34
43.035,13.065,10.2,1.9,2.531,11.0731,2.228,1.201,0.000306,29-10-2016 06:36
43.018,13.118,8.0,2.0,5.4819,10.1817,0.242,5.477,0.000433,29-10-2016 06:37
42.888,13.173,8.5,1.3,17.2439,19.4884,-14.294,9.645,2.2e-05,29-10-2016 06:38
42.88,13.084,9.3,1.5,15.205,18.133,-15.021,2.357,4.3e-05,29-10-2016 06:40
42.855,13.154,8.6,2.1,19.6348,21.6748,-17.925,8.013,0.000109,29-10-2016 06:43
42.878,13.095,10.5,1.8,15.6059,19.1392,-15.264,3.25,7.6e-05,29-10-2016 06:45
42.777,13.15,9.9,2.1,27.617,29.5386,-26.58,7.496,4.7e-05,29-10-2016 06:46
42.864,13.052,10.9,1.8,16.7408,20.2989,-16.738,-0.298,6.5e-05,29-10-2016 06:47
43.031,13.097,8.0,1.6,4.171,9.5401,1.724,3.798,0.000206,29-10-2016 06:49
42.918,13.149,9.2,1.8,13.3954,16.5857,-10.92,7.758,0.000108,29-10-2016 06:50
43.05,13.086,5.0,1.8,4.8538,7.3956,3.854,2.95,0.00044,29-10-2016 06:51
42.884,13.151,7.6,2.0,16.6588,18.5587,-14.699,7.838,0.000128,29-10-2016 06:55
42.899,13.155,8.7,2.2,15.4055,17.9846,-13.041,8.202,0.000213,29-10-2016 06:56
42.913,13.058,11.0,2.0,11.3122,16.1884,-11.308,0.318,0.000177,29-10-2016 06:57
42.906,13.107,8.7,2.1,12.9133,15.9019,-12.176,4.3,0.000228,29-10-2016 06:58
42.873,13.174,8.3,1.5,18.6732,20.6771,-15.962,9.69,3.1e-05,29-10-2016 07:00
42.869,13.088,9.7,2.2,16.4658,19.4114,-16.25,2.656,0.000178,29-10-2016 07:02
42.895,13.062,11.0,1.8,13.3277,17.6557,-13.314,0.598,9.3e-05,29-10-2016 07:04
42.862,13.16,8.0,1.6,19.1576,20.9912,-17.159,8.52,3.7e-05,29-10-2016 07:06
43.073,13.085,9.0,1.9,7.0472,11.8928,6.411,2.927,0.00027,29-10-2016 07:09
43.037,13.094,7.5,1.6,4.2984,9.1522,2.396,3.569,0.000219,29-10-2016 07:12
42.962,13.057,8.0,1.8,5.8753,10.3988,-5.864,0.362,0.000276,29-10-2016 07:13
42.705,13.226,9.6,1.9,37.2589,38.6246,-34.71,13.545,1.3e-05,29-10-2016 07:19
42.864,13.056,8.6,1.5,16.7457,19.0969,-16.746,0.029,3.8e-05,29-10-2016 07:20
42.793,13.09,10.2,1.9,24.8334,27.0722,-24.694,2.628,3.8e-05,29-10-2016 07:21
42.904,13.132,8.3,2.3,13.9643,16.5486,-12.444,6.336,0.000318,29-10-2016 07:24
