animal.id,sex,DT,difft,stepl,vel
2,m,9/6/2017 13:02,4,16.56310855,4.140777138
2,m,9/6/2017 17:01,3.983333333,111.9640584,28.10813181
2,m,9/6/2017 21:01,4,58.81984288,14.70496072
2,m,9/7/2017 0:01,3,29.98031775,9.993439251
2,m,9/7/2017 4:01,4,304.7044042,76.17610106
2,m,9/7/2017 8:01,4,29.71758771,7.429396927
2,m,9/7/2017 12:02,4.016666667,194.272048,48.36648499
2,m,9/7/2017 16:02,4,89.63562784,22.40890696
2,m,9/7/2017 20:01,3.983333333,226.1949419,56.78534106
2,m,9/8/2017 3:02,7.016666667,266.8457665,38.03027551
2,m,9/8/2017 7:01,3.983333333,30.08206507,7.551982862
2,m,9/8/2017 11:02,4.016666667,196.2293333,48.85377593
2,m,9/8/2017 15:01,3.983333333,61.73182132,15.49752836
2,m,9/8/2017 23:03,8.033333333,347.7748765,43.2914784
2,m,9/9/2017 2:01,2.966666667,44.55447205,15.01836136
2,m,9/9/2017 6:01,4,29.07074976,7.267687441
2,m,9/9/2017 10:02,4.016666667,247.2716138,61.56139763
2,m,9/9/2017 14:02,4,375.3074865,93.82687164
2,m,9/9/2017 18:01,3.983333333,234.2210517,58.80026403
2,m,9/9/2017 22:02,4.016666667,119.5401692,29.76103799
2,m,9/10/2017 1:02,3,43.61653467,14.53884489
2,m,9/10/2017 5:02,4,21.05031749,5.262579373
2,m,9/10/2017 21:04,16.03333333,207.2756384,12.92779449
2,m,9/11/2017 0:01,2.95,165.8204218,56.21031248
2,m,9/11/2017 23:05,23.06666667,204.8638508,8.881380813
2,m,9/12/2017 3:02,3.95,146.1579496,37.00201257
2,m,9/12/2017 7:02,4,135.244209,33.81105225
2,m,9/12/2017 15:02,8,329.8516159,41.23145199
2,m,9/12/2017 23:02,8,129.8366275,16.22957844
2,m,9/13/2017 2:01,2.983333333,86.67823784,29.05415794
2,m,9/13/2017 6:01,4,28.95159582,7.237898955
2,m,9/13/2017 10:02,4.016666667,325.0128329,80.91605798
2,m,9/13/2017 14:01,3.983333333,31.06134192,7.797826424
2,m,9/13/2017 18:02,4.016666667,33.61089838,8.367858517
2,m,9/13/2017 22:01,3.983333333,41.74422768,10.47972243
2,m,9/14/2017 1:01,3,22.89154712,7.630515706
2,m,9/14/2017 5:01,4,22.78269254,5.695673134
2,m,9/14/2017 13:02,8.016666667,349.8208167,43.63669231
2,m,9/14/2017 17:01,3.983333333,45.70800638,11.47481332
2,m,9/14/2017 21:02,4.016666667,283.7434239,70.64151631
